OBJECTID,CAM17U_COD,CAM17U_DEN,WIKIDATA,CAM17U_NOM,POP_2011,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
89,CU071_04,Liguria - 04,Q48079890,Genova - Unità Urbanistica San Fruttuoso,252584.0,93319.4236265,110996498.623,country:it/region:lig/cam_uni:cu071-04,country:it/region:lig
90,CU071_05,Liguria - 05,Q48079897,Genova - Rapallo,287236.0,299858.170793,1171314544.2,country:it/region:lig/cam_uni:cu071-05,country:it/region:lig
91,CU071_06,Liguria - 06,Q48079906,La Spezia,248742.0,304592.170929,988160203.648,country:it/region:lig/cam_uni:cu071-06,country:it/region:lig
92,CU081_01,Emilia-Romagna - 01,Q48079915,Imola,227489.0,313496.363305,1581262348.92,country:it/region:emi/cam_uni:cu081-01,country:it/region:emi
93,CU081_02,Emilia-Romagna - 02,Q48079921,Cesena,273969.0,337375.096351,1889197876.83,country:it/region:emi/cam_uni:cu081-02,country:it/region:emi
94,CU081_03,Emilia-Romagna - 03,Q48079930,Ravenna,287108.0,220133.365378,1217136003.82,country:it/region:emi/cam_uni:cu081-03,country:it/region:emi
95,CU081_04,Emilia-Romagna - 04,Q48079936,Ferrara,275966.0,291576.364355,2222269713.29,country:it/region:emi/cam_uni:cu081-04,country:it/region:emi
96,CU081_05,Emilia-Romagna - 05,Q48079946,San Giovanni in Persiceto,235161.0,223269.163425,1130992221.84,country:it/region:emi/cam_uni:cu081-05,country:it/region:emi
97,CU081_06,Emilia-Romagna - 06,Q48079957,Bologna - Zona Urbana Mazzini,257861.0,59546.530617,84953338.4789,country:it/region:emi/cam_uni:cu081-06,country:it/region:emi
98,CU081_07,Emilia-Romagna - 07,Q48079966,Bologna - Casalecchio di Reno,255732.0,274561.412907,905040916.277,country:it/region:emi/cam_uni:cu081-07,country:it/region:emi
99,CU081_08,Emilia-Romagna - 08,Q48079975,Cento,209395.0,248537.784134,1060645915.74,country:it/region:emi/cam_uni:cu081-08,country:it/region:emi
100,CU081_09,Emilia-Romagna - 09,Q48079981,Modena,269992.0,146840.035966,401330994.184,country:it/region:emi/cam_uni:cu081-09,country:it/region:emi
101,CU081_10,Emilia-Romagna - 10,Q48079990,Sassuolo,283905.0,278903.358314,1638683058.9,country:it/region:emi/cam_uni:cu081-10,country:it/region:emi
102,CU081_11,Emilia-Romagna - 11,Q48080002,Scandiano,298517.0,360780.053961,1918048837.68,country:it/region:emi/cam_uni:cu081-11,country:it/region:emi
103,CU081_12,Emilia-Romagna - 12,Q48080012,Parma,221836.0,156577.390426,564004958.48,country:it/region:emi/cam_uni:cu081-12,country:it/region:emi
104,CU081_13,Emilia-Romagna - 13,Q48080018,Fidenza,205598.0,369504.385505,2883395160.66,country:it/region:emi/cam_uni:cu081-13,country:it/region:emi
105,CU081_14,Emilia-Romagna - 14,Q48080025,Piacenza,284616.0,353035.62561,2585765000.92,country:it/region:emi/cam_uni:cu081-14,country:it/region:emi
106,CU081_15,Emilia-Romagna - 15,Q48080033,Rimini,282339.0,291122.493654,801785899.834,country:it/region:emi/cam_uni:cu081-15,country:it/region:emi
107,CU081_16,Emilia-Romagna - 16,Q48080042,Forlì,253852.0,300290.218921,1194604683.15,country:it/region:emi/cam_uni:cu081-16,country:it/region:emi
108,CU081_17,Emilia-Romagna - 17,Q48080051,Reggio nell'Emilia,218799.0,131634.069464,373096053.8,country:it/region:emi/cam_uni:cu081-17,country:it/region:emi
109,CU091_01,Toscana - 01,Q48080060,Firenze - Quartiere Vecchio Novoli - Peretola,236433.0,48717.1906495,58790600.0964,country:it/region:tos/cam_uni:cu091-01,country:it/region:tos
110,CU091_02,Toscana - 02,Q48080065,Firenze - Scandicci,222489.0,98312.4299474,213639160.726,country:it/region:tos/cam_uni:cu091-02,country:it/region:tos
111,CU091_03,Toscana - 03,Q48080076,Sesto Fiorentino,259670.0,344775.587548,2022256155.83,country:it/region:tos/cam_uni:cu091-03,country:it/region:tos
112,CU091_04,Toscana - 04,Q48080084,Empoli,263880.0,289632.925574,1154227467.92,country:it/region:tos/cam_uni:cu091-04,country:it/region:tos
113,CU091_05,Toscana - 05,Q48080095,Prato,273390.0,128379.586001,409459536.379,country:it/region:tos/cam_uni:cu091-05,country:it/region:tos
